area,relative_path,role,extension,bytes,sha256
shuttle-bus,liangxiang/core-areas/shuttle-bus/2025-05-27-early-commute-BV1XLjdzqEps.jpg,video-thumbnail,jpg,750475,74f5f4a48a860506a03de5a2d3e5d1e84c714ac4eba20d303f343f1e8b8385ac
shuttle-bus,liangxiang/core-areas/shuttle-bus/2025-06-20-night-shuttle-BV1xJNozeE74.jpg,video-thumbnail,jpg,489355,83e4b36900f50c81c300753fc1559e7df60080b0e0cc21a767f0967af9da5b72
shuttle-bus,liangxiang/core-areas/shuttle-bus/2025-06-21-metro-north-campus-shuttle-BV13FKPzhEjk.jpg,video-thumbnail,jpg,535741,f457c15a1d1b3f6aa9ede89ee584569f4a3634622a75e3735e0d569d8d157ffb
shuttle-bus,liangxiang/core-areas/shuttle-bus/2025-06-30-last-shuttle-BV1ZHgfzBEbc.jpg,video-thumbnail,jpg,431970,3104aa48513533c34542eba3f139a6acc05aa1938f280c03f58719cd26171762
sports-field,liangxiang/core-areas/sports-field/2025-03-30-south-field-football-BV1rdZBYwEaa.jpg,video-thumbnail,jpg,2685191,a564dc07b61aa80cfc64b988c52bd4cc6062ed7ba21f1a19c84f4fcd10f3839d
student-service-center,liangxiang/core-areas/student-service-center/2023-student-service-center-hall-01.jpg,identity-mark,jpg,49842,0d6bea35a35f66a4edf3495d0c7a4443b5d536a55f67c169338f1170b8ac23d4
derived-spatial-diagrams,liangxiang/derived/campus-structure-working-map.png,spatial-structure,png,241553,0cb1169bacf666e4b148e25c5f0eb6177e9578d45df4f5f84f34ca44336d62ec
derived-spatial-diagrams,liangxiang/derived/campus-structure-working-map.svg,spatial-structure,svg,7863,2332f699026aaa61e393899f44d424eef2fecb659abe1d1c92e8502cf7139183
derived-spatial-diagrams,liangxiang/derived/north-lake-working-topology.png,spatial-structure,png,209675,c420f9c611b529360d7a064b9a31200ed637095136d5382b782dfdb09bae02b4
derived-spatial-diagrams,liangxiang/derived/north-lake-working-topology.svg,spatial-structure,svg,5106,94456e3f9e8ecd262db1e8f63167c3087ae825afd4fa01b41f32c12822d69453
campus-maps,liangxiang/maps/2024-student-resource-liangxiang-map.jpg,spatial-structure,jpg,8469267,1b325363231e03dc7c57e90d0438e64ac10031280c2124030f4379f5b32579cc
campus-maps,liangxiang/maps/2024-student-resource-wencui-building-map.jpg,spatial-structure,jpg,201038,73d0f4584da6299a9ed275c4599f457527d956cb13a70cdf915c5ba13c4840b7
campus-maps,liangxiang/maps/2025-bit-guide-liangxiang-map.jpg,spatial-structure,jpg,479325,5ac366c31bddd949a2cbb7819d6febf6aca548feff7f87669c2f7fe7e90b48ab
campus-maps,liangxiang/maps/2025-bit-guide-wencui-building-map.jpg,spatial-structure,jpg,294492,04f47f022d7a340db1c0d4002301fc6f0d3e7b53bba7f958b2b70b49d1d01a29
campus-maps,liangxiang/maps/culture-sports-defense-current-crop.png,spatial-structure,png,315867,1a0bad1065e59d0cdc89614f8be8a33066effafa5528c15db5cfb2f4dd5c7ec5
campus-maps,liangxiang/maps/liangxiang-campus-map-current.pdf,source-map,pdf,4068292,82fa60a27973c88cd69607f46075acc6abaf2e81a1f8f688f35990efb3bc2ada
campus-maps,liangxiang/maps/liangxiang-campus-map-current.png,spatial-structure,png,1030430,ff29cff731800201a6245552439e9ee3f5aabfcd80352c55a6757d6db560145e
campus-maps,liangxiang/maps/north-lake-current-crop.png,spatial-structure,png,407594,e0042e612a0a0bf86d3605533db71a2cded6e2d81e950371cf61917227b5853e
preview-contact-sheets,liangxiang/previews/buildings-services-field.jpg,preview-only,jpg,146165,6611ac0223e012522ec0ab8dddeb80d4502d0f9f546ee21b5ec16cb17b121e46
preview-contact-sheets,liangxiang/previews/maps.jpg,preview-only,jpg,122079,9cdc4e27f8e90dee7ad765d813d2e5bd25fe1e529b1bfb38d440377e13a120f9
preview-contact-sheets,liangxiang/previews/north-lake-greenery.jpg,preview-only,jpg,675834,4b153e370af805ebe2e1f05bec910ff407561e44ca1fb58101c0c44843774729
preview-contact-sheets,liangxiang/previews/shuttle-bus.jpg,preview-only,jpg,304598,3c605e5bd7769d809fb0a0f4dc7b56ad1beec1c64459c6f304e770bc5f65774e
